  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      505        1.469        5.602            0      485.645       19.531       71.984
      506        1.559        5.535            0      477.719       32.008       72.709
      507        1.574        5.387            0      474.532       26.999       78.140
      508        1.531        5.328            0      472.492       27.003       79.627
      509        1.593        5.484            0      484.592       23.323       69.548
      510        1.508        5.443            0      474.757       27.482       77.715
      511        1.459        5.514            0      474.994       35.034       72.958
      512        1.519        5.519            0      478.457       16.700       71.044
      513        1.495        5.441            0      481.899       20.880       66.739
      514        1.356        5.500            0      484.107       21.362       66.689
      515        1.559        5.476            0      477.090       12.240       69.318
      516        1.467        5.473            0      483.534       15.810       66.814
      517        1.439        5.411            0      478.825       21.600       73.264
      518        1.542        5.445            0      472.679        9.517       67.432
      519        1.530        5.601            0      479.441       12.201       67.913
      520        1.442        5.421            0      477.946       19.341       72.878
      521        1.429        5.406            0      481.571       21.665       73.149
      522        1.479        5.194            0      472.342       26.472       72.938
      523        1.455        5.482            0      481.869       15.446       70.756
      524        1.447        5.432            0      480.994       12.108       79.818
      525        1.561        5.580            0      483.703       17.217       70.703
      526        1.433        5.397            0      485.850       23.858       69.158
      527        1.373        5.560            0      482.533       25.476       66.890
      528        1.581        5.318            0      477.780       18.449       62.750
      529        1.578        5.256            0      475.347       26.799       68.762
      530        1.330        5.358            0      473.711       23.484       70.457
      531        1.466        5.438            0      482.931       18.092       75.243
      532        1.364        5.391            0      481.132       26.419       68.988
      533        1.391        5.311            0      479.692       19.799       73.682
      534        1.530        5.364            0      486.473       22.084       68.460
      535        1.446        5.488            0      490.186       20.788       68.988
      536        1.568        5.286            0      476.616       19.853       70.472
      537        1.473        5.508            0      484.809       19.586       69.903
      538        1.324        5.333            0      473.405       19.288       74.507
      539        1.531        5.450            0      480.793       17.807       76.131
      540        1.443        5.251            0      479.624        7.316       79.641
      541        1.486        5.495            0      482.189       14.328       75.764
      542        1.770        5.444            0      478.489       28.424       72.396
      543        1.582        5.302            0      469.125       23.929       70.443
      544        1.623        5.529            0      480.009       22.548       78.774
      545        1.656        5.332            0      475.123       25.781       67.558
      546        1.701        5.248            0      470.726       13.697       64.866
      547        1.641        5.320            0      474.802       16.429       66.018
      548        1.725        5.365            0      482.321       22.597       67.971
